region,year,male_total,m_0_4,m_5_9,m_10_14,m_15_19,m_20_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_64,m_65_69,m_70_74,m_75_79,m_80_84,m_85_89,m_90_94,m_95_99,m_100+,female_total,f_0-4,f_5_9,f_10_14,f_15_19,f_20-24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_64,f_65_69,f_70_74,f_75_79,f_80_84,f_85_89,f_90_94,f_95_99,f_100+
Busan,2020,1644092,49858,69255,67206,73109,105855,117827,97734,114788,122056,132091,135829,135955,140620,107719,77258,53359,29960,10731,2449,385,0,1712495,47496,65633,63398,67790,99125,106565,91787,111310,118368,132457,141896,147213,155134,120984,90407,68494,48200,24964,9089,1920,265
Daegu,2020,1184035,38068,53181,55142,62828,84340,86821,72034,79978,87065,100441,105296,100453,90307,63311,44738,31237,19076,7796,1627,273,0,1217075,36123,50787,51396,56267,75221,74150,61887,78508,88211,104727,109596,105762,96334,72934,54138,43792,32564,17438,5876,1201,163
Incheon,2020,1459257,49496,67780,68893,71820,95926,112384,95922,112095,117195,127076,125672,126352,110815,69073,48020,31955,18574,7687,2059,408,0,1456582,46800,64414,65343,67479,89211,102036,88502,106068,111267,122944,127825,125525,111008,72508,53420,42268,31801,18605,7496,1815,247
Gwangju,2020,713010,24888,36586,38797,42594,55766,53269,42037,52202,56104,62416,61235,53468,46678,30721,24091,17058,9932,3949,1055,152,0,728542,23879,34314,36259,39349,51148,48664,39654,50903,57019,63442,62065,54987,50094,34899,29070,22617,16370,9169,3658,842,140
Daejon,2020,725153,24456,34340,35948,39736,53261,57736,48398,52162,54516,62439,62463,56630,51468,34743,24230,16981,10088,4250,1105,182,0,728858,23222,32469,33895,36670,50253,50472,41976,50241,55292,62812,62660,57656,53949,37460,27345,22136,16416,9466,3561,791,116
Ulsan,2020,580482,21187,29423,29070,30063,39502,41504,36583,43496,46490,48352,53071,52716,44350,28388,17910,10473,5414,1999,424,64,0,549833,20139,27729,26880,26331,31118,32119,30546,40283,43079,48550,53163,49194,43187,28479,18149,13247,9641,5472,1995,480,52
Sejong,2020,176998,10636,13547,12249,9168,8923,10097,12698,17233,18034,17020,12896,10451,8948,5897,3968,2594,1627,757,218,34,0,177707,10260,12830,12065,9187,8118,10267,13261,18150,18251,15268,11747,9845,8953,6160,4255,3481,2772,1900,764,151,22
Gyeonggi,2020,6697616,249524,336911,338364,342966,444520,503226,444778,531360,556033,600648,579724,537078,460588,291530,200980,142810,88202,36538,9675,1897,0,6618279,237137,321689,321360,322391,408495,443727,411057,507491,537078,583524,571414,519167,455032,305904,227681,186163,140077,79422,31122,7238,1110
Gangwon,2020,770197,23165,30844,33518,37946,51893,49041,40190,46522,51486,62637,67956,68225,70196,48850,32440,27704,18502,6672,1846,500,0,759389,22037,29510,31289,34563,41365,37045,34412,43843,49773,58188,62599,65990,69744,50141,36728,37301,29978,16166,6887,1573,257
North Chungcheong,2020,806465,27137,35913,37659,39982,52951,57531,47605,55015,58160,65684,70237,69420,65764,45205,30384,23529,15730,6582,1633,312,0,784544,25637,34651,35227,36376,44761,43310,40174,50609,53905,61412,66494,65241,64317,46497,33233,32637,26912,15946,5754,1267,184
South Chungcheong,2020,1075524,37383,51021,52430,52645,65672,68051,64862,78811,82854,90304,89840,87995,80734,57748,44755,32377,23290,11461,2766,481,0,1031422,35678,48497,48642,48602,55016,53603,54234,69044,72716,79080,79157,79824,78719,59785,48412,44697,39643,25001,8753,1999,320
North Jeolla,2020,891537,26300,39685,42873,47646,60319,53508,43059,53727,61826,75407,78310,75322,72339,53115,43839,30857,20754,9698,2509,398,0,901157,25188,37489,40215,44069,51654,45269,39428,51425,58818,70012,71942,71352,72430,55974,50015,44575,37335,23254,8615,1789,309
South Jeolla,2020,925103,28648,38689,41275,45448,59208,52519,42010,55253,62520,75310,83739,82919,79126,57159,47968,35903,24376,9923,2627,436,0,914329,27374,37446,38790,41625,47109,41217,37719,49724,55362,64208,70475,73574,75599,58345,53997,53855,47767,27096,10277,2414,356
North Gyeongsang,2020,1321186,41092,56606,56732,61825,81864,78477,69987,84185,91673,106764,116608,119163,115941,85718,62369,44531,30544,13400,3149,514,0,1301842,38956,52846,52284,54873,63712,59213,57822,77116,83570,98172,107580,112431,114067,90604,68084,65063,56908,33477,12050,2600,414
South Gyeongsang,2020,1671807,56222,81882,83202,86307,108072,101921,90512,117196,128950,144886,151184,143509,134865,93581,64599,43144,27352,11253,2716,397,0,1649555,53281,77303,77544,76909,85971,81557,79597,109974,121237,137017,144349,138715,133410,97603,72743,63163,53530,31720,11336,2303,293
Jeju,2020,336074,12843,18112,18361,18558,21970,21577,17811,23695,26443,31016,30522,27199,23577,15525,11776,8659,5431,2434,475,80,0,333103,12171,17148,17102,16564,19436,19500,17062,23525,25340,28590,27828,25455,23145,16290,13353,11261,9450,6352,2523,862,146
Countrywide,2021,25575878,785277,1141520,1214119,1213124,1619458,1860414,1667131,1785438,2014144,2099684,2253796,2064224,2025229,1451789,980486,692481,454896,194466,48809,8326,1067,25741511,744887,1086659,1146518,1127221,1492663,1660799,1532594,1700312,1948731,2038190,2229294,2003459,2072503,1553284,1115938,903898,740711,435190,165714,37044,5902
Seoul,2021,4563718,126024,173416,188280,198041,284406,396584,364669,348460,357052,366010,386726,341238,336784,259159,179908,132301,82026,32438,8431,1534,231,4838170,118439,165146,178423,188565,315645,418219,366217,348376,363438,374245,401193,350912,372338,295372,211331,163158,114484,61762,24296,5685,926
Busan,2021,1628484,45012,67676,68313,68554,99611,115174,99833,106891,125369,125888,136903,130371,142856,113993,79808,54197,32729,12040,2802,416,48,1701635,42749,64074,64793,64012,94601,105048,93831,102647,121876,125023,144308,137760,159261,128452,94359,68272,51479,26869,9881,2039,301
Daegu,2021,1169062,34106,51847,55183,58600,79420,84642,73286,75400,87116,95375,105774,97527,93878,67802,46886,30867,20464,8724,1859,280,26,1204727,32243,49569,51804,52732,70940,73146,62965,71909,88710,98801,111752,101031,100898,77559,57110,42282,34371,18892,6535,1281,197
Incheon,2021,1464968,45734,65745,70108,68997,91850,111121,100231,106526,121348,122714,128709,123151,118293,77336,48312,33329,20144,8588,2243,424,65,1462942,43000,62759,66654,64829,85514,101030,92071,100333,114811,118015,130974,122646,118546,81248,53578,42876,33519,20123,8169,1938,309
Gwangju,2021,709872,23165,35339,38680,40118,53500,54042,43464,48872,56371,60254,62332,53770,48773,32733,24437,17432,10929,4351,1131,162,17,726311,22181,33359,36295,37196,49480,49045,40632,47523,57322,60914,63792,54447,52853,36822,29762,22565,17544,9712,3833,888,146
Daejon,2021,720467,22335,32938,35873,37574,51172,58161,49523,49281,54891,59202,63927,54829,53756,37952,24868,17091,10953,4736,1186,195,24,724778,21132,31102,33749,34822,48838,50644,43218,46679,55259,60048,64585,54741,56673,40967,28216,21871,17162,10221,3858,855,138
Ulsan,2021,573865,18718,28577,29457,28251,36822,40614,36664,40142,47275,46164,52447,51917,47014,31023,19078,10957,5968,2213,488,72,4,543901,17799,26895,27198,25027,28977,30778,30593,36974,43916,45599,53773,47833,45850,31254,19512,13309,10038,5832,2168,517,59
Sejong,2021,185271,10147,13834,13144,9933,9193,10509,13153,16923,19253,17475,14711,10772,9771,6747,4214,2631,1742,852,224,37,6,185867,9849,13226,12844,9865,8321,10448,13886,17642,19658,16196,13217,9993,9833,7031,4491,3392,2906,2035,842,172,20
Gyeonggi,2021,6782604,231231,331207,344340,332362,435437,509126,467348,511035,574832,583756,603012,536561,494355,327847,203163,147391,95315,41320,10726,1961,279,6699391,220251,316623,327954,313575,401212,446095,427920,484009,554201,566139,599339,513462,489180,342932,229611,188520,148464,87030,33750,7871,1253
Gangwon,2021,770609,21684,29903,33852,35680,49638,48839,41057,44379,51858,59732,68657,66879,73610,55477,31801,27746,19484,7764,2024,480,65,760878,20683,28667,31483,32708,39390,37075,35314,41306,50354,56019,63850,63399,73718,55949,36268,36283,31487,17623,7275,1749,278
North Chungcheong,2021,807238,24727,34983,38111,37877,50282,57793,48798,52634,58637,63443,70745,67786,70194,50680,31206,23311,16514,7423,1744,313,37,784245,23519,33710,35678,34635,42470,43407,40507,47837,54502,59348,67806,62937,68434,51390,33970,31278,27667,17452,6160,1319,219
South Chungcheong,2021,1078664,34036,49254,53259,50807,63285,68145,64926,74419,85055,87186,93876,85581,87043,62786,46389,32478,23841,12629,3095,514,60,1032594,32345,47041,49508,46921,53332,52961,53816,65341,74322,76991,82798,76177,84067,64542,50241,42520,40352,27155,9686,2137,341
North Jeolla,2021,885369,23633,37825,43029,44962,57719,53738,43615,50085,61368,71320,79611,74572,75708,56515,44671,31223,21913,10612,2798,406,46,894580,22611,35576,40610,41393,49477,45091,39549,48071,58754,66792,73564,69197,75840,59067,50600,43308,38537,24707,9561,1940,335
South Jeolla,2021,918957,25839,37245,41756,42596,55960,52183,42195,51312,62390,71290,84079,83398,83559,60007,49546,35351,26013,10820,2902,469,47,907652,24718,35876,39441,39220,44304,40843,37470,46707,55952,61266,71496,71895,79606,60634,54752,50855,49492,28993,11243,2490,399
North Gyeongsang,2021,1318237,37045,54852,57502,58867,78107,77945,69990,78875,93005,102043,117413,116914,122189,92886,66282,43621,31841,14692,3587,533,48,1298390,35078,51487,53262,52147,61017,58303,57521,71736,85334,94507,109338,108240,119369,96787,72508,61152,57930,36192,13171,2836,475
South Gyeongsang,2021,1661208,49994,78962,84431,81935,102007,100155,90077,107991,131349,138223,153435,141206,142708,101813,68027,43672,29131,12589,2997,452,54,1639927,47096,74546,79302,73565,80604,79186,79205,100964,123766,130914,148320,133339,141685,105482,76252,60948,55445,33888,12579,2513,328
Jeju,2021,337285,11847,17917,18801,17970,21049,21643,18302,22213,26975,29609,31439,27752,24738,17033,11890,8883,5889,2675,572,78,10,335523,11194,17003,17520,16009,18541,19480,17879,22258,26556,27373,29189,25450,24352,17796,13377,11309,9834,6704,2707,814,178
