region,year,male_total,m_0_4,m_5_9,m_10_14,m_15_19,m_20_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_64,m_65_69,m_70_74,m_75_79,m_80_84,m_85_89,m_90_94,m_95_99,m_100+,female_total,f_0-4,f_5_9,f_10_14,f_15_19,f_20-24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_64,f_65_69,f_70_74,f_75_79,f_80_84,f_85_89,f_90_94,f_95_99,f_100+
South Jeolla,2011,949897,41501,42748,61120,68377,57649,56235,61047,68658,80582,79765,81200,60802,54569,45261,43247,27227,13417,5083,1200,185,0,950269,39250,39654,56357,61290,48547,47505,54405,59281,68037,67386,75375,59018,55645,55982,62850,48120,30711,14389,5019,1246,202
North Gyeongsang,2011,1346531,59546,59384,81503,94454,90518,88605,96601,102248,114868,111631,117298,92695,71859,54847,51418,35001,15753,6341,1691,242,0,1334072,55436,53617,72776,79597,71894,75636,87480,94341,104985,101749,112964,94023,73307,66979,72192,58224,34907,16660,5877,1247,181
South Gyeongsang,2011,1652919,83477,83166,112135,127144,107302,108268,127920,137019,153090,140763,143114,104187,74299,54270,46569,30022,13766,5061,1196,134,0,1633325,78174,74964,100877,107581,88454,95763,119029,129770,146515,129807,136870,103062,76856,66250,68635,55239,34230,15682,4519,908,140
Jeju,2011,285671,14855,16560,21419,22710,17652,17448,20143,23782,27072,25063,22634,16363,12430,10630,8587,5437,1894,708,233,46,0,285400,13981,14695,19659,20339,15857,16333,19349,22327,25388,22349,21513,16296,12988,11768,11461,9722,5973,3325,1536,464,77
Countrywide,2012,25235801,1194184,1213887,1541361,1841262,1745900,1695983,2059929,2059932,2329709,2105052,2185643,1660581,1173485,883386,770635,461679,207590,78671,23016,3439,0,25218375,1126563,1131582,1409090,1640158,1560278,1591466,1969375,2002642,2248382,2027387,2149940,1672381,1221041,994439,987595,724034,448550,216187,77654,16899,2732
Seoul,2012,4955289,214027,210232,264609,332138,343148,394825,471418,425912,455190,392724,408376,333699,241501,187278,150324,78175,33757,12973,4208,663,0,5080462,202896,197993,244423,300024,336644,404601,462893,419571,452334,398286,433722,361988,259672,205325,169520,111263,68141,34918,12916,2884,448
Busan,2012,1732956,68046,68699,93268,123482,126404,116989,138067,128405,145662,137629,160647,138875,103032,74104,59273,31558,13202,4326,1122,146,0,1764751,64584,63974,83719,105987,110540,110535,131625,125351,147057,143616,172452,146023,108589,80322,72817,48757,29580,13959,4265,871,128
Daegu,2012,1237273,53470,58181,80118,100496,96300,80586,90894,94905,112362,106017,109687,83229,60545,40862,35729,21000,8864,3168,750,102,0,1247263,49870,53239,70308,84973,75933,71901,91585,97608,116818,108969,112825,86772,65769,48212,47332,33152,19584,8806,2924,592,91
Incheon,2012,1414192,69638,68849,85470,105740,102934,97438,119503,119017,132280,124470,131075,90881,58291,42530,33116,19271,8750,3561,1172,179,0,1400440,65889,64944,78944,96063,95223,92227,113661,113974,130250,122789,125652,88392,57364,46415,42897,31320,20174,9939,3449,754,120
Gwangju,2012,723499,36935,40648,53752,62280,53153,48253,58268,60187,66435,59274,55985,39740,29855,22498,18742,10425,4757,1806,444,56,0,736323,34785,37224,49679,56961,48638,46824,58265,60776,67122,59145,57851,41931,32452,25510,24039,16763,10590,5200,2053,434,81
Daejon,2012,756665,38496,40132,50525,60349,56619,52498,61291,62854,70425,61208,63568,47758,31859,22161,18391,10942,4925,1954,587,109,0,756233,35908,37681,46188,53405,49913,49554,60978,63372,70818,61083,64326,47908,32451,24359,23228,16994,10611,5198,1759,420,79
Ulsan,2012,586284,29915,29339,38514,48911,44485,38672,48709,46165,54143,54369,54543,38563,24779,15046,11195,5614,2352,731,208,30,0,553798,27842,26523,34052,40884,34740,33428,44477,45481,55265,51288,50826,36327,22887,15255,13821,9891,6273,3228,1056,227,27
Sejong,2012,57189,3066,2993,3301,3388,3460,3480,4573,4981,5390,4334,4752,3820,2779,2079,2176,1525,717,279,84,10,0,55049,3013,2958,3165,2867,2977,2854,4138,4483,4235,3648,4177,3560,2842,2424,2851,2296,1533,703,256,60,9
Gyeonggi,2012,6031893,320194,326974,395325,446476,407064,394208,503733,532719,603872,530110,520205,356417,226901,173048,145740,88282,39625,15256,4922,715,0,5956963,302982,307604,366258,406640,378476,374599,490844,527183,585651,501738,485101,343383,233344,195807,184561,133614,81184,39920,14416,3160,498
Gangwon,2012,767349,31857,35228,46779,53829,53920,45602,50950,55361,67240,62726,71018,57513,36769,33635,32220,19356,8190,3726,1172,210,0,757221,30104,32434,42346,48317,43023,37268,47437,52900,60763,58040,69144,55677,39430,38028,41062,29226,18452,9370,3289,791,120
North Chungcheong,2012,783669,37322,38001,48921,57904,53196,50710,58432,60490,69052,64261,69355,53218,36178,28288,27829,18457,7842,3150,913,131,0,771560,35301,35309,44814,51123,44714,44000,53878,57392,64690,59376,65467,51907,36694,32222,36339,29211,17374,8055,2952,648,94
South Chungcheong,2012,1019838,51095,50467,61941,69134,62905,65102,81874,81277,90223,80328,85188,64784,49665,38296,38458,28700,13732,5033,1390,221,0,995181,48198,46985,56686,62437,56630,56507,70422,73291,78554,70906,78976,63045,51067,42975,51493,43055,26100,12249,4506,939,160
North Jeolla,2012,927125,41599,44224,58928,69054,62024,55162,63603,68500,80303,73894,77841,62488,49455,38909,37524,25280,12253,4665,1248,151,0,933555,38964,41356,54775,62838,53799,48472,58120,64344,72777,67865,75805,61485,51637,44669,51915,41278,25698,11994,4581,1000,183
South Jeolla,2012,947695,41220,41816,57366,67628,59033,51800,61428,65792,80158,79882,82494,63945,54597,44285,46266,28830,14341,5185,1405,206,0,948127,39304,39121,52480,60916,49743,44361,54148,57633,67535,67053,75795,61176,55197,52520,66144,50359,32686,14653,5788,1281,234
North Gyeongsang,2012,1346324,59339,58753,76302,92430,91445,83563,97257,98073,115509,109379,119891,97252,75309,53996,55260,36564,17161,6730,1804,282,0,1333977,55195,53557,67862,79127,72384,70408,87529,91546,103801,100717,114874,96732,77534,63332,76148,60241,37066,17866,6468,1378,212
South Gyeongsang,2012,1658666,83083,82933,105576,125381,111050,100704,129356,132254,153687,139042,147399,110613,79201,55455,49293,31838,14857,5418,1329,181,0,1638447,77626,75684,94736,107035,90456,88707,119624,126140,144646,130144,140720,108557,80959,65054,71624,56584,37016,16828,5181,966,160
Jeju,2012,289895,14882,16418,20666,22642,18760,16391,20573,23040,27778,25405,23619,17786,12769,10916,9099,5862,2265,710,258,47,0,289025,14102,14996,18655,20561,16445,15220,19751,21597,26066,22724,22227,17518,13153,12010,11804,10030,6488,3301,1795,494,88
Countrywide,2013,25330055,1182909,1198807,1462879,1796635,1795507,1639816,2068061,1983304,2310562,2160064,2189836,1782408,1200143,932644,787433,497471,227016,84190,26147,3688,0,25333672,1117805,1122112,1341434,1614684,1596473,1526296,1986703,1907720,2232575,2099375,2147511,1784346,1251635,1029997,998965,761296,473520,232631,87731,17863,3000
Seoul,2013,4925496,209552,205606,249465,318886,347195,377177,471502,406841,450617,398291,403515,348951,244217,195316,155962,85974,36980,13780,4850,696,0,5064176,198979,193804,231526,291144,339091,387298,466630,398583,449156,406127,425084,378809,264181,214709,175437,117755,70690,37357,14301,3035,480
