"링크ID(T_LINK_ID)","요일(DAY)","시간(TIME)","날씨(WEATHER)","목적지(DEST)","승차건수(CNT_ON)","하차건수(CNT_OFF)","공차건수(CNT_EMP)"
"T_176230","1","41","1","1154","1",,
"T_161423","3","45","1","1159","1",,
"T_184617","4","10","2","1141","",1,
"T_159141","1","22","-1","1141","",7,
"T_175557","1","06","1","1162","",,7
"T_167608","6","39","1","1150","11",47,62
"T_180119","7","18","-1","1135","5",,
"T_172987","3","26","2","1144","",,21
"T_164879","5","04","3","1162","",,30
"T_193862","2","18","1","1111","2",,252
"T_181957","6","41","-1","1135","1",,1
"T_187330","7","22","1","1138","",7,
"T_156606","5","34","-1","1120","1",,
"T_189962","1","12","1","","",,9
"T_183594","5","23","-1","","1",,45
"T_163600","7","14","3","","",,
"T_155885","6","30","-1","1126","",,193
"T_178171","6","00","1","","1",,
"T_180778","6","42","-1","1174","1",,
"T_154828","7","17","1","","1",92,665
"T_180759","7","33","1","1111","2",1,
"T_162168","6","22","-1","1147","3",,
"T_171459","4","45","-1","1126","1",,166
"T_151649","4","42","1","1111","1",2,
"T_151907","6","30","1","1168","",,16
"T_149806","2","41","1","1154","1",,
"T_180864","6","43","1","1141","6",1,
"T_173915","3","24","2","","1",,3
"T_154832","7","24","1","","1",,201
"T_185656","7","31","-1","1171","1",1,
"T_170283","2","33","-1","1126","4",13,
"T_190901","1","29","1","1153","1",23,
"T_157041","1","43","-1","1123","2",,
"T_149570","4","30","2","1135","1",,299
"T_177620","5","27","1","1147","1",1,
"T_193836","7","00","1","1123","1",,
"T_169702","6","01","3","1129","",2,
"T_193123","7","02","2","","",1,
"T_173285","6","45","1","","1",,246
"T_169626","1","23","-1","1135","1",,
"T_152876","7","20","1","","36",,
"T_181565","6","18","1","","6",,
"T_169310","1","36","1","1114","1",,
"T_164135","7","09","1","1154","1",,
"T_180773","4","01","1","1126","4",,227
"T_180620","6","45","1","1111","2",15,
"T_168967","2","06","1","4128","1",,
"T_189371","2","24","1","1141","1",1,
