cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000060679,1,2,95,1,0,7,02-0000172762,2,4,1,,03-060679,90151,215851.49028,551882.16189,,127.17942268263154,37.56633986392512,,,,999,1,,2000-0000-000,,,
03-0000060679,1,2,183,1,0,7,02-0000172762,2,1,2,,03-060679,90152,215851.49028,551882.16189,,127.17942268263154,37.56633986392512,,,,999,1,,2000-0000-000,,,
03-0000060681,1,2,287,1,0,7,02-0000172763,2,1,1,,03-060681,90154,215694.1751,551856.54754,,127.17764149528288,37.56611177347444,,,,999,1,,2000-0000-000,,,
03-0000060812,1,2,336,1,0,7,02-0000172842,2,3,1,,03-060812,90158,211547.9375,546302.4375,,127.13062326275038,37.51613066913059,,,,999,1,,2012-1101-004,,,
03-0000060813,1,2,71,1,0,7,02-0000172844,2,3,2,,03-060813,90159,211521.68447,546267.07844,,127.1303257510827,37.51581241155574,,,,999,1,,2012-1101-004,,,
03-0000002610,1,2,70,1,0,7,02-0000106007,2,1,2,,03-002610,90160,207056.73748,551505.17219,,127.07987157934221,37.56305252305892,,,,999,1,,2011-0701-001,,,
03-0000045044,1,3,0,1,0,7,02-0000133052,2,1,2,,03-045044,92736,193557.49435,556623.02883,,126.92703559449768,37.60916851179322,,,,999,1,,2004-1101-211,,,
03-0000061696,1,3,89,1,0,3,02-0000173767,2,1,2,,03-061696,90178,212777.98438,550581.5625,,127.14461119791413,37.55466928642035,,,,9,1,,2011-0401-002,,,
03-0000013435,1,2,203,1,0,7,02-0000039300,2,4,1,,03-013435,90180,204938.51943,546975.28873,,127.05586610943443,37.522252095645214,,,,999,1,,2000-0000-000,,,
03-0000061981,1,3,212,1,0,7,02-0000172141,2,2,1,,03-061981,90181,190121.60328,542047.17155,,126.88831864474068,37.477809890647464,,,,999,1,,2012-0101-043,,,
03-0000046232,1,3,111,2,0,2,02-0000135802,2,4,1,,03-046232,90182,189701.27696,541901.25857,,126.88356864542561,37.47649061621933,,,,5,1,2,2012-0101-043,,,
03-0000046755,1,3,68,2,0,3,02-0000137045,2,4,1,,03-046755,90184,200879.21806,551749.59128,,127.00995171397746,37.56528132755039,,,,9,1,3,2012-0101-046,,,
03-0000062604,1,2,184,1,0,7,02-0000175565,2,1,2,,03-062604,90186,197538.45262,549529.17381,,126.9721456284648,37.54527255204143,,,,999,1,,2012-0101-046,,,
03-0000010870,1,3,183,2,0,3,02-0000103856,2,1,2,,03-010870,90187,200228.53125,551690.25,,127.00258668639655,37.56474705597362,,,,9,1,,2007-0201-473,,,
03-0000062606,1,3,103,2,0,3,02-0000175567,2,2,1,,03-062606,90189,197492.34296,551112.52855,,126.97161845164948,37.55953842234919,,,,7,1,3,2012-0101-046,,.,
03-0000062607,1,2,105,1,0,7,02-0000175567,2,2,1,,03-062607,90190,197492.34296,551112.52855,,126.97161845164948,37.55953842234919,,,,999,1,,2012-0101-046,,.,
03-0000037772,1,2,82,1,0,7,02-0000118115,2,1,2,,03-037772,90192,193191.29591,553098.43552,,126.92292098848206,37.577409604913484,,,,999,1,,2008-0201-005,,,
03-0000020618,1,3,271,3,0,2,02-0000066844,2,1,2,,03-020618,90193,201727.73438,551796.25,,127.01955602989102,37.56570052057059,,,,9,1,,2012-0101-046,,,
03-0000020613,1,2,271,1,0,7,02-0000066843,2,1,2,,03-020613,90194,201753.8125,551800.78125,,127.01985121599733,37.56574129769004,,,,999,1,,2012-0101-046,,,
03-0000062608,1,3,91,3,0,2,02-0000175568,2,1,1,,03-062608,90195,201755.16485,551782.10108,,127.01986647840445,37.565572987525364,,,,9,1,,2012-0101-046,,,
03-0000062609,1,2,93,1,0,7,02-0000175568,2,1,1,,03-062609,90196,201755.16485,551782.10108,,127.01986647840445,37.565572987525364,,,,999,1,,2012-0101-046,,,
03-0000062610,1,2,216,1,0,7,02-0000171648,2,1,2,,03-062610,90197,195307.38674,554094.87193,,126.94687013825636,37.586400640228035,,,,,1,,2012-0101-046,,,
03-0000062611,1,2,161,1,0,7,02-0000175569,2,1,2,,03-062611,90198,197739.21875,548486.8125,,126.97442066572334,37.5358813924503,,,,999,1,,2012-0101-046,,,
03-0000030657,1,2,155,1,0,7,02-0000060725,2,2,1,,03-030657,90199,197738.84467,548477.83093,,126.97441646088645,37.53580046753795,,,,999,1,,2000-0000-000,,,
03-0000062612,1,2,90,1,0,7,02-0000175570,2,1,2,,03-062612,90200,198443.90696,551818.84207,,126.98238671099392,37.56590438004576,,,,999,1,,2012-0101-046,,,
03-0000062613,1,2,348,1,0,7,02-0000161263,2,1,2,,03-062613,90201,196609.1875,547018.6875,,126.96164184118413,37.5226501034289,,,,999,1,,2012-0101-046,,,
03-0000054868,1,2,349,1,0,7,02-0000161264,2,2,1,,03-054868,90202,196606.54263,547009.01113,,126.96161196608573,37.52256290937568,,,,999,1,,2009-1101-072,,.,
03-0000016570,1,2,211,1,0,7,02-0000100315,2,1,2,,03-016570,90203,200655.97416,548226.05174,,127.0074217072674,37.53353447293055,,,,,1,,2012-0101-046,,,
03-0000043176,1,2,120,1,0,7,02-0000127923,2,1,2,,03-043176,90204,196481.3073,548375.65625,,126.9601887147243,37.53487593366188,,,,999,1,,2012-0101-046,,,
03-0000053356,1,2,238,1,0,7,02-0000002358,2,1,2,,03-053356,90205,193963.83839,553122.78506,,126.93166647126138,37.57763437917964,,,,,1,,2012-0101-046,,,
03-0000062614,1,3,179,2,0,3,02-0000175571,2,1,2,,03-062614,90206,198839.01563,548690.25,,126.98686386168946,37.53771640499447,,,,9,1,,2012-0101-046,,,
03-0000062616,1,3,325,2,0,1,02-0000175573,2,1,2,,03-062616,90208,201414.0699,551483.36093,,127.01600509415512,37.56288193646574,,,,5,1,,2012-0101-046,,,
03-0000062617,1,3,227,2,0,1,02-0000175574,2,1,2,,03-062617,90209,201408.3263,551482.16171,,127.01594008314625,37.56287114033065,,,,5,1,,2012-0101-046,,,
03-0000062618,1,2,265,1,0,7,02-0000135077,2,1,2,,03-062618,90210,198153.28025,552158.77859,,126.97909627548907,37.56896665705321,,,,,1,,2012-0101-046,,,
03-0000062619,1,2,179,1,0,7,02-0000159680,2,1,2,,03-062619,90211,198183.19303,552162.38269,,126.97943486069543,37.56899918929965,,,,999,1,,2012-0101-046,,,
03-0000062620,1,3,73,2,2,2,02-0000175575,2,1,2,,03-062620,90212,195017.14029,554730.70528,,126.94357963930635,37.59212792319223,,,,5,1,2,2012-0101-046,,,
03-0000062621,1,2,323,1,0,7,02-0000175576,2,1,1,,03-062621,90213,195049.01682,554750.43181,,126.94394044019668,37.59230582954453,,,,999,1,,2012-0101-046,,,
03-0000062622,1,2,0,1,0,10,02-0000175576,2,1,1,,03-062622,90214,195049.01682,554750.43181,,126.94394044019668,37.59230582954453,,,,999,1,,2012-0101-046,,,
03-0000048058,1,3,0,1,0,7,02-0000142572,2,2,1,,03-048058,87437,192867.11366,540633.16655,,126.91937198185616,37.46509483143067,,,,999,1,,2010-1101-153,,,
03-0000060178,1,2,332,1,0,7,02-0000142488,2,1,2,,03-060178,87438,192867.75,540634.28125,,126.91937916406243,37.46510487990301,,,,999,1,,2000-0000-000,,,
03-0000010924,1,2,1,1,0,7,02-0000021856,2,4,1,,03-010924,87439,192913.55143,541174.01837,,126.91989170035627,37.469968318518326,,,,999,1,,2010-1101-153,,,
03-0000023122,1,2,235,1,0,10,02-0000078290,1,2,1,,03-023122,91349,207803.77225,552867.74944,,127.08834137104415,37.57532324587548,,,,999,1,1,2008-0201-852,,한국노인회관 지원제단,
03-0000023120,1,2,56,1,0,10,02-0000078285,1,2,1,,03-023120,91350,207787.47225,552877.16763,,127.08815694970419,37.57540824109702,,,,999,1,1,2008-0201-852,,한국노인회관 지원제단,
03-0000031339,1,3,324,1,0,3,02-0000078285,2,1,2,,03-031339,91351,207788.0283,552878.77365,,127.08816326144022,37.57542270653233,,,,7,1,2,2008-0201-852,,한국노인회관 지원제단,
03-0000036511,1,2,325,1,0,7,02-0000078285,2,1,2,,03-036511,91352,207788.8411,552877.96085,,127.08817245398183,37.575415376384974,,,,,1,,2008-0201-852,,한국노인회관 지원제단,
03-0000024004,1,3,342,2,0,1,02-0000080519,2,1,2,,03-024004,91353,207610.56393,552610.97106,,127.08615152382772,37.57301130517307,,,,7,1,,2008-0201-852,,한국노인회관 지원제단,
03-0000002124,1,2,108,1,0,7,02-0000015205,2,4,1,,03-002124,91355,203773.20619,554644.72503,,127.04272315099382,37.59135900058393,,,,999,1,,2008-0201-852,,한국노인회관 지원제단,
03-0000034199,1,3,108,2,0,3,02-0000015205,2,4,1,,03-034199,91356,203773.20619,554644.72503,,127.04272315099382,37.59135900058393,,,,9,1,3,2008-0201-852,,한국노인회관 지원제단,
03-0000004299,1,2,184,1,0,7,02-0000076313,2,4,1,,03-004299,91357,203766.96348,554642.57847,,127.04265245519639,37.59133968581584,,,,999,1,,2008-0201-852,,한국노인회관 지원제단,
03-0000008607,1,3,30,3,1,2,02-0000001727,1,4,1,,03-008607,91300,193739.0353,552506.257,,126.92912681104994,37.57207799785808,,,,5,1,2,2002-0101-085,,,
03-0000008617,1,3,136,2,0,2,02-0000104706,1,4,1,,03-008617,91301,196119.2854,549554.77554,,126.95608648789522,37.54549834325353,,,,5,1,,2008-0101-911,,,
03-0000008636,1,3,33,1,0,2,02-0000028391,2,1,2,,03-008636,91303,190245.36944,543840.22347,,126.88969414459466,37.49396672123868,,,,11,1,,2006-0201-023,,,
03-0000022644,1,3,185,2,2,2,02-0000076313,2,4,1,,03-022644,91358,203766.96348,554642.57847,,127.04265245519639,37.59133968581584,,,,6,1,21,2008-0201-852,,한국노인회관 지원제단,
03-0000025401,1,3,9,2,1,2,02-0000086407,2,4,1,,03-025401,87280,191589.82975,540017.71959,,126.90494098290168,37.45953885573834,,,,6,1,2,2000-0000-000,,,
03-0000025937,1,2,259,1,0,1,02-0000060646,2,2,1,,03-025937,87281,192976.49873,540841.25199,,126.92060645433801,37.46697054015775,,,,1,1,1,2010-1101-153,,,
03-0000048060,1,3,179,2,0,2,02-0000142574,2,4,1,,03-048060,87282,192861.60626,540544.21632,,126.91931058921733,37.4642933379128,,,,7,1,2,2010-1101-153,,,
03-0000048061,1,2,277,1,0,2,02-0000142574,2,4,1,,03-048061,87283,192861.60626,540544.21632,,126.91931058921733,37.4642933379128,,,,1,1,2,2010-1101-153,,,
03-0000048060,1,3,167,1,0,2,02-0000142574,2,1,2,,03-048060,87284,192847.16405,540492.94239,,126.91914783815501,37.4638312427254,,,,6,1,,2010-1101-153,,,
03-0000048061,1,2,169,1,0,7,02-0000142574,2,1,2,,03-048061,87285,192845.73991,540493.05058,,126.91913173933726,37.46383220651394,,,,,1,,2010-1101-153,,,
03-0000048062,1,3,0,2,0,2,02-0000172006,2,4,1,,03-048062,87286,192841.26369,540541.62901,,126.91908067066616,37.464269868740665,,,,7,1,2,2010-1101-153,,,
03-0000048062,1,3,7,1,0,2,02-0000172006,2,1,2,,03-048062,87287,192844.70921,540540.68203,,126.9191196265235,37.464261363012334,,,,7,1,,2010-1101-153,,,
03-0000048065,1,3,0,2,0,2,02-0000022376,2,4,1,,03-048065,87288,192846.70748,540483.64761,,126.91914276750131,37.463747492226176,,,,6,1,2,2010-1101-153,,,
03-0000048066,1,2,0,1,0,7,02-0000022376,2,2,1,,03-048066,87289,192846.70748,540483.64761,,126.91914276750131,37.463747492226176,,,,999,1,,2010-1101-153,,,
03-0000048066,1,2,256,1,0,7,02-0000022376,2,2,1,,03-048066,87290,192846.70748,540483.64761,,126.91914276750131,37.463747492226176,,,,999,1,,2010-1101-153,,,
03-0000048065,1,3,0,2,0,2,02-0000022376,2,2,1,,03-048065,87291,192846.70748,540483.64761,,126.91914276750131,37.463747492226176,,,,6,1,2,2010-1101-153,,,
03-0000044693,1,2,188,1,0,7,02-0000132393,2,1,2,,03-044693,87292,191626.15625,539867.5625,,126.90535328103581,37.45818625312538,,,,999,1,,2004-0101-084,,,
03-0000044695,1,3,0,2,0,2,02-0000132397,2,1,1,,03-044695,87293,191610.763,539873.09686,,126.90517923360414,37.45823597886444,,,,7,1,,2004-0101-084,,,
03-0000025401,1,3,9,2,0,2,02-0000086407,2,1,1,,03-025401,87294,191589.82975,540017.71959,,126.90494098290168,37.45953885573834,,,,6,1,,2000-0000-000,,,
03-0000004384,1,2,98,1,0,2,02-0000107050,2,4,1,,03-004384,87295,191586.35278,540028.42175,,126.90490156111748,37.459635251765235,,,,1,1,1,2000-0000-000,,,
03-0000004383,1,2,98,1,0,2,02-0000107050,2,2,1,,03-004383,87296,191586.35278,540028.42175,,126.90490156111748,37.459635251765235,,,,1,1,1,2000-0000-000,,,
03-0000004384,1,2,98,1,0,7,02-0000107050,2,4,1,,03-004384,87297,191586.35278,540028.42175,,126.90490156111748,37.459635251765235,,,,999,1,,2000-0000-000,,,
03-0000050709,1,3,87,2,0,3,02-0000154236,2,1,2,,03-050709,87298,191687.79099,539049.42382,,126.90605913688395,37.450815282397194,,,,6,1,,2008-1101-010,,삼일신호,
03-0000054840,1,2,86,1,0,7,02-0000154236,2,1,2,,03-054840,87299,191687.8956,539049.48015,,126.90606031850318,37.4508157908772,,,,,1,,2010-1101-003,,기타,
03-0000050331,1,3,229,2,0,2,02-0000152586,2,1,2,,03-050331,87300,192259.35606,539433.05935,,126.91251467639705,37.45427684368612,,,,6,1,,2007-0501-666,,진우산전,
03-0000050332,1,2,233,1,0,7,02-0000152586,2,1,2,,03-050332,87301,192259.35606,539433.05935,,126.91251467639705,37.45427684368612,,,,999,1,,2007-0501-666,,진우산전,
03-0000057625,1,2,0,1,0,7,02-0000167141,2,3,1,,03-057625,89292,203630.71174,546427.18496,,127.0410690684085,37.5173197362047,,,,999,1,,2011-1101-010,,,
03-0000057481,1,3,284,3,0,3,02-0000166875,2,1,1,,03-057481,89293,203629.84762,546428.49868,,127.04105930033789,37.517331576262805,,,,11,1,3,2011-1101-010,,,
03-0000013275,1,3,18,2,0,3,02-0000037447,2,1,1,,03-013275,89294,203638.91175,546393.28496,,127.04116165564712,37.51701426380898,,,,11,1,3,2011-1101-010,,,
03-0000048153,1,3,16,1,0,7,02-0000142995,2,3,1,,03-048153,89295,203647.91889,546385.31782,,127.041263500622,37.51694244406536,,,,999,1,,2011-1101-010,,,
03-0000062623,1,3,244,2,0,2,02-0000175577,2,1,1,,03-062623,90215,195065.23318,554731.02196,,126.94412418732509,37.59213103549419,,,,7,1,,2012-0101-046,,,
03-0000062624,1,2,138,1,0,7,02-0000175577,2,1,1,,03-062624,90216,195065.23318,554731.02196,,126.94412418732509,37.59213103549419,,,,999,1,,2012-0101-046,,,
03-0000062625,1,2,104,1,0,7,02-0000175578,2,1,2,,03-062625,90217,195137.65696,554686.83437,,126.94494452661927,37.5917332943543,,,,999,1,,2012-0101-046,,,
03-0000062626,1,3,55,2,1,2,02-0000175579,2,1,2,,03-062626,90218,192841.88063,553202.57265,,126.91896436425381,37.57834522443186,,,,6,1,2,2012-0101-046,,,
03-0000062627,1,3,236,2,1,2,02-0000175580,2,1,2,,03-062627,90219,192829.09769,553220.27068,,126.9188194781614,37.578504583053636,,,,6,1,2,2012-0101-046,,,
03-0000062628,1,2,240,1,0,7,02-0000175580,2,1,2,,03-062628,90220,192832.66145,553222.11508,,126.9188598047905,37.57852122871029,,,,999,1,,2012-0101-046,,,
03-0000062629,1,3,26,2,0,2,02-0000175583,2,1,2,,03-062629,90221,196661.69762,548307.31548,,126.962230001739,37.534260853287705,,,,6,1,,2012-0101-046,,,
03-0000017992,1,2,24,1,0,7,02-0000112131,2,1,2,,03-017992,90222,196649.91251,548338.73252,,126.9620965201981,37.53454387830733,,,,999,1,,2012-0101-046,,,
03-0000017985,1,3,205,2,0,2,02-0000056721,2,1,2,,03-017985,90224,196659.10446,548346.06331,,126.96220048618139,37.53460996210577,,,,6,1,,2012-0101-046,,,
03-0000062630,1,2,207,1,0,7,02-0000175584,2,1,2,,03-062630,90225,196627.76691,548415.75417,,126.96184560748199,37.53523776314343,,,,999,1,,2012-0101-046,,,
03-0000062631,1,3,117,2,0,3,02-0000175585,2,1,1,,03-062631,90226,196630.36047,548425.79551,,126.96187490568475,37.53532824514706,,,,7,1,,2012-0101-046,,,
03-0000062632,1,2,118,1,0,7,02-0000175585,2,1,1,,03-062632,90227,196630.36047,548425.79551,,126.96187490568475,37.53532824514706,,,,999,1,,2012-0101-046,,,
03-0000062633,1,2,299,1,0,7,02-0000175586,2,1,2,,03-062633,90228,196614.08855,548448.40625,,126.96169069621315,37.53553190844944,,,,999,1,,2012-0101-046,,,
03-0000062634,1,2,24,1,0,7,02-0000175587,2,1,2,,03-062634,90229,196581.9375,548432.75,,126.96132700169315,37.535390726994066,,,,999,1,,2012-0101-046,,,
03-0000062635,1,3,205,2,0,3,02-0000175588,2,1,2,,03-062635,90230,196613.48703,548445.34638,,126.96168390452704,37.53550433679773,,,,7,1,,2012-0101-046,,,
03-0000062636,1,2,205,1,0,7,02-0000175588,2,1,2,,03-062636,90231,196608.81766,548452.84087,,126.96163103918991,37.53557184503628,,,,,1,,2012-0101-046,,,
03-0000047513,1,3,25,1,0,7,02-0000139682,2,2,1,,03-047513,90232,196590.1673,548452.66567,,126.96142002369315,37.53557019773535,,,,999,1,,2000-0000-000,,,
03-0000017980,1,3,296,2,0,3,02-0000056710,2,1,2,,03-017980,90233,196586.32813,548431.09375,,126.9613766863017,37.535375820430666,,,,9,1,,2012-0101-046,,,
03-0000062637,1,2,298,1,0,7,02-0000175589,2,1,2,,03-062637,90234,196588.80426,548432.19302,,126.96140469687357,37.53538573401831,,,,999,1,,2012-0101-046,,,
03-0000062638,1,2,116,1,0,7,02-0000175590,2,1,2,,03-062638,90235,196583.6823,548425.5,,126.96134677660183,37.53532541092,,,,999,1,,2012-0101-046,,,
03-0000062639,1,3,27,2,0,3,02-0000175591,2,1,2,,03-062639,90236,196611.05233,548407.2343,,126.9616565333698,37.5351609378178,,,,7,1,,2012-0101-046,,,
03-0000062640,1,2,27,1,0,7,02-0000175591,2,1,2,,03-062640,90237,196611.05233,548407.2343,,126.9616565333698,37.5351609378178,,,,,1,,2012-0101-046,,,
03-0000062794,1,3,54,1,0,1,02-0000175994,2,1,2,,03-062794,90238,201510.0746,546773.86919,,127.01708203590806,37.52044927708133,,,,5,1,,2012-0101-106,,,
03-0000030504,1,2,203,1,0,7,02-0000056724,2,1,2,,03-030504,90223,196662.73397,548339.7389,,126.9622415798539,37.534552992267926,,,,999,1,,2012-0101-046,,,
03-0000062795,1,2,183,1,0,10,02-0000016344,2,1,2,,03-062795,90239,199421.09375,543116.21875,,126.99345426260564,37.48749469871376,,,,0,1,,2012-0101-106,,,
03-0000049526,1,3,108,2,2,2,02-0000029294,2,2,1,,03-049526,90240,195939.09672,544011.32262,,126.95407812435091,37.495550907078595,,,,9,1,2,2012-0101-106,,,
03-0000062798,1,2,281,1,0,7,02-0000175997,2,1,2,,03-062798,90241,195981.09578,544030.99748,,126.95455295437927,37.495728362508366,,,,999,1,,2012-0101-106,,,
03-0000062799,1,3,281,1,0,2,02-0000175997,2,1,2,,03-062799,90242,195978.37986,544026.0762,,126.9545222687899,37.495684009636804,,,,6,1,,2012-0101-106,,,
03-0000004384,1,2,11,1,0,2,02-0000107050,2,2,1,,03-004384,87279,191586.35278,540028.42175,,126.90490156111748,37.459635251765235,,,,1,1,1,2000-0000-000,,,
03-0000003506,1,3,228,3,0,2,02-0000068172,2,1,1,,03-003506,87383,182777.2004,551002.86209,,126.80507621709293,37.5583928391217,,,,11,1,,2000-0000-000,,,
03-0000020841,1,2,226,1,0,7,02-0000068172,2,1,1,,03-020841,87384,182777.2004,551002.86209,,126.80507621709293,37.5583928391217,,,,999,1,,2000-0000-000,,,
03-0000060523,1,2,225,1,0,10,02-0000068172,2,1,1,,03-060523,87385,182777.2004,551002.86209,,126.80507621709293,37.5583928391217,,,,999,1,,2000-0000-000,,,
03-0000045411,1,2,135,1,0,7,02-0000134011,2,1,2,,03-045411,87386,184026.29325,550081.37886,,126.81923315800753,37.55011282939328,,,,999,1,,2004-1101-238,,,
03-0000045392,1,2,42,1,0,7,02-0000133999,2,1,2,,03-045392,87387,183824.492,550255.81892,,126.81694563600779,37.551681005205566,,,,,1,,2006-0101-043,,,
03-0000045393,1,2,227,1,0,7,02-0000134002,2,1,2,,03-045393,87388,183846.39175,550260.19672,,126.81719337275665,37.55172083286155,,,,999,1,,2004-1101-238,,,
03-0000060524,1,3,0,3,0,3,02-0000172479,2,4,1,,03-060524,87389,183811.82451,550233.53793,,126.81680277308728,37.55148003257722,,,,11,1,3,2000-0000-000,,,
03-0000060524,1,3,182,3,0,3,02-0000172479,2,1,2,,03-060524,87390,183810.30306,550230.32013,,126.81678562629703,37.55145101368916,,,,11,1,,2000-0000-000,,,
03-0000011358,1,3,181,3,0,3,02-0000016034,2,2,1,,03-011358,87391,183820.4624,550288.56118,,126.81689931250027,37.55197594016247,,,,11,1,3,2004-1101-238,,,
03-0000045402,1,2,359,1,0,7,02-0000134006,2,1,2,,03-045402,87392,183770.6875,550332.125,,126.81633505906602,37.5523675725115,,,,999,1,,2005-1101-167,,,
03-0000045976,1,3,183,2,0,3,02-0000135103,2,4,1,,03-045976,92257,200215.57556,552213.27883,,127.00244019799807,37.5694595272068,,,,11,1,3,2009-0201-004,,,
03-0000007248,1,2,155,1,0,12,02-0000007608,1,2,1,,03-007248,92258,194711.05964,548767.09519,,126.94015692221919,37.53839434814177,,,,999,1,,2000-0000-000,,,
03-0000007258,1,2,307,1,0,10,02-0000003907,1,4,1,,03-007258,92259,189758.20575,554490.10209,,126.88403676098486,37.58991662802108,,,,999,1,,2000-0000-000,,,
03-0000007266,1,4,142,1,0,12,02-0000007594,1,2,1,,03-007266,92260,194514.84265,549028.67708,,126.9379348222136,37.54075005383972,,,,999,1,,2000-0000-000,,,
03-0000007273,1,2,147,1,0,12,02-0000007593,1,2,1,,03-007273,92261,194532.46102,549016.49318,,126.93813426666556,37.54064038158535,,,,999,1,,2000-0000-000,,,
03-0000007282,1,2,135,1,0,12,02-0000007602,1,2,1,,03-007282,92262,194629.26812,548906.77159,,126.93923045015029,37.53965235941433,,,,999,1,,2000-0000-000,,,
03-0000007309,1,2,70,1,0,7,02-0000095329,2,4,1,,03-007309,92263,194588.32363,549738.40234,,126.93876103699802,37.54714510461,,,,999,1,,2005-0101-045,,,
03-0000045980,1,3,82,1,0,7,02-0000124026,2,4,1,,03-045980,92264,200593.99436,552215.28326,,127.0067236944398,37.56947742078333,,,,999,1,,2000-0000-000,,,
03-0000007328,1,2,70,1,0,7,02-0000004077,2,1,2,,03-007328,92265,194779.134,549664.56621,,126.94092078638084,37.54648094226362,,,,999,1,,2005-0101-045,,,
03-0000007337,1,4,30,1,0,12,02-0000002933,1,2,1,,03-007337,92266,193032.94174,549323.2385,,126.92116416380453,37.543394045446135,,,,999,1,,2000-0000-000,,,
03-0000007346,1,2,269,1,0,7,02-0000001614,2,1,1,,03-007346,92267,198947.625,552316.28125,,126.98808754013234,37.57038699851089,,,,999,1,,2000-0000-000,,,
03-0000007355,1,4,199,1,0,12,02-0000005892,1,2,1,,03-007355,92268,192916.06572,549228.22556,,126.91984256942753,37.542537089783806,,,,999,1,,2000-0000-000,,,
03-0000007365,1,4,336,1,0,12,02-0000095115,1,2,1,,03-007365,92269,192460.0159,549316.59469,,126.91468128873807,37.54332967874015,,,,999,1,,2000-0000-000,,,
03-0000007373,1,4,139,1,0,12,02-0000032044,1,2,1,,03-007373,92270,195798.57882,545983.25495,,126.9524778471639,37.51331749031236,,,,999,1,,2000-0000-000,,,
03-0000007381,1,3,210,4,2,1,02-0000094732,1,2,1,,03-007381,92271,198513.35127,550177.1188,,126.98317607148056,37.55111261501823,,,,5,1,1,2000-0000-000,,,
03-0000007391,1,2,119,1,0,12,02-0000009450,1,2,1,,03-007391,92272,198633.35935,549710.34322,,126.98453503344713,37.54690715928432,,,,999,1,,2000-0000-000,,,
03-0000007401,1,4,54,1,0,12,02-0000012288,1,2,1,,03-007401,92273,198368.65416,554793.35463,,126.98152831115056,37.59270442805166,,,,999,1,,2000-0000-000,,,
03-0000007418,1,3,80,2,0,1,02-0000000964,1,4,1,,03-007418,92274,199073.73632,549309.89705,,126.98951886393355,37.543299689949286,,,,5,1,,2009-0201-004,,,
03-0000007428,1,2,297,1,0,7,02-0000002494,2,2,1,,03-007428,92275,194804.87116,554658.52314,,126.94117665281013,37.59147639481303,,,,999,1,,2011-1101-086,,,
03-0000007446,1,2,345,1,0,12,02-0000006447,1,2,1,,03-007446,92276,195096.16317,548312.42734,,126.94451730849237,37.534299917877135,,,,999,1,,2000-0000-000,,,
03-0000007455,1,2,166,1,0,12,02-0000003282,1,2,1,,03-007455,92277,195167.36132,548254.31902,,126.94532323614786,37.53377673732604,,,,999,1,,2000-0000-000,,,
03-0000045268,1,3,134,1,0,7,02-0000133791,2,4,1,,03-045268,92278,204055.35244,553460.77077,,127.0459112754748,37.58069045983562,,,,999,1,,2004-1101-236,,,
03-0000007481,1,2,223,1,0,7,02-0000003455,1,4,1,,03-007481,92280,192450.66009,553555.65456,,126.91453180288738,37.581523343965785,,,,999,1,,2008-0201-005,,,
03-0000007498,1,2,360,1,0,7,02-0000008095,1,4,1,,03-007498,92281,193195.56811,554802.46137,,126.92295353045465,37.59276277807498,,,,999,1,,2000-0000-000,,,
03-0000007507,1,2,56,1,0,7,02-0000006837,1,4,1,,03-007507,92282,192322.8884,553654.95264,,126.91308422513404,37.582416956059674,,,,999,1,,2010-1101-080,,,
03-0000007517,1,3,110,3,1,1,02-0000006845,1,4,1,,03-007517,92283,193926.98486,556287.20049,,126.93122303153234,37.606145248410755,,,,5,1,1,2009-0201-007,,,
03-0000046323,1,3,24,1,0,7,02-0000056015,1,4,1,,03-046323,92284,203634.52524,551173.8904,,127.04113569280096,37.560087535973686,,,,999,1,,2005-0401-003,,,
03-0000042230,1,3,3,1,0,7,02-0000124945,2,1,1,,03-042230,92285,199010.19904,551320.04823,,126.98879719726486,37.561411047908074,,,,999,1,,2009-0401-002,,,
03-0000038018,1,5,256,8,4,8,02-0000119448,2,1,1,,03-038018,92286,201968.48145,551777.67469,,127.02228096870202,37.56553267494385,,,,11,1,8,2007-0201-488,,,
03-0000038019,1,5,258,4,2,8,02-0000119448,1,2,1,,03-038019,92287,201968.48145,551777.67469,,127.02228096870202,37.56553267494385,,,,9,1,8,2006-0201-031,,0,
03-0000038021,1,5,74,4,2,8,02-0000119449,1,2,1,,03-038021,92288,201962.05344,551753.79905,,127.02220814709112,37.56531757007897,,,,9,1,8,2000-0000-000,,0,
03-0000038020,1,5,74,6,3,8,02-0000119449,2,4,1,,03-038020,92289,201962.05344,551753.79905,,127.02220814709112,37.56531757007897,,,,11,1,8,2007-0201-488,,,
03-0000022103,1,3,93,2,0,2,02-0000114566,2,4,1,,03-022103,92290,206066.43151,553229.85343,,127.06867709075486,37.578598859405126,,,,7,1,2,2007-0201-488,,0,
03-0000022104,1,2,93,1,0,7,02-0000114566,2,4,1,,03-022104,92291,206066.43151,553229.85343,,127.06867709075486,37.578598859405126,,,,999,1,,2007-0201-488,,0,
03-0000022101,1,3,359,2,0,3,02-0000073314,2,1,1,,03-022101,92293,206028.69444,553221.45455,3,127.06824980669073,37.578523433815,,,,7,1,,2007-0201-488,,0,
