cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000046117,1,3,176,2,0,1,02-0000135728,1,2,1,,03-046117,92510,195937.6772,544681.60491,,126.95405837226856,37.50159018484976,,,,6,1,1,2004-1101-246,,,
03-0000046940,1,3,222,1,0,7,02-0000137540,2,1,2,,03-046940,92511,206948.89189,557271.72786,,127.07870562232067,37.615009527882165,,,,999,1,,2005-1101-110,,,
03-0000019620,1,3,242,3,1,2,02-0000063756,1,4,1,,03-019620,92512,186588.02975,551249.4053,,126.84820166412105,37.560677505313656,,,,7,1,2,2000-0000-000,,,
03-0000019630,1,2,139,1,0,10,02-0000063784,1,4,1,,03-019630,92513,183677.3181,550058.22665,,126.81528450559685,37.549898117553674,,,,999,1,,2000-0000-000,,,
03-0000049112,1,3,320,1,1,1,02-0000147833,2,1,2,,03-049112,92514,195810.45206,553334.25914,,126.95257019995674,37.57954999753897,,,,5,1,1,2006-0501-017,,,
03-0000019651,1,2,70,1,0,7,02-0000063380,1,4,1,,03-019651,92515,191438.93007,547382.79307,,126.90314973812387,37.525897221732976,,,,999,1,,2008-0101-025,,,
03-0000019661,1,3,350,3,1,3,02-0000063155,1,4,1,,03-019661,92516,191627.02072,547316.43673,,126.90527833622835,37.52530107620668,,,,11,1,2,2008-0101-591,,,
03-0000025114,1,2,13,1,0,7,02-0000084859,2,4,1,,03-025114,92538,205336.62579,561614.43581,,127.0604762354423,37.6541474427908,,,,999,1,,2007-0201-457,,,
03-0000049602,1,3,13,3,0,3,02-0000084859,2,2,1,,03-049602,92539,205336.62579,561614.43581,,127.0604762354423,37.6541474427908,,,,11,1,3,2011-0401-004,,,
03-0000025077,1,3,0,3,0,3,02-0000116256,2,2,1,,03-025077,92540,205325.08363,561610.96805,,127.06034541102413,37.65411626587849,,,,11,1,21,2007-0201-457,,0,
03-0000036885,1,2,101,1,0,3,02-0000084812,1,2,1,,03-036885,92541,205328.58209,561611.92709,,127.06038506357697,37.654124886369424,,,,1,1,1,2000-0000-000,,0,
03-0000025078,1,2,106,1,0,7,02-0000084812,2,1,1,,03-025078,92542,205328.58209,561611.92709,,127.06038506357697,37.654124886369424,,,,999,1,,2007-0201-457,,0,
03-0000036890,1,2,289,1,0,7,02-0000116262,2,1,2,,03-036890,92544,205457.37452,561676.91425,,127.06184506222175,37.6547096528356,,,,999,1,,2007-0201-457,,,
03-0000016449,1,2,240,1,0,7,02-0000051419,1,4,1,,03-016449,92361,209210.99731,549539.79172,,127.1042298396048,37.54532550377894,,,,999,1,,2007-0201-488,,,
03-0000016457,1,4,12,1,0,12,02-0000050703,1,2,1,,03-016457,92362,209361.53904,549488.68379,,127.10593268607188,37.54486350658129,,,,999,1,,2000-0000-000,,,
03-0000016474,1,2,155,1,0,10,02-0000052376,1,4,1,,03-016474,92363,210983.6044,548087.04488,,127.12426655032054,37.5322168739347,,,,999,1,,2008-0101-461,,,
03-0000027675,1,3,249,4,2,1,02-0000119391,1,4,1,,03-027675,91576,203692.66708,547903.46935,,127.04177729714361,37.53062084557708,,,,5,1,1,2008-0201-004,,,
03-0000027682,1,4,117,1,0,12,02-0000119407,1,2,1,,03-027682,91577,199105.74033,539681.40102,,126.9898927054155,37.45654638274517,,,,999,1,,2000-0000-000,,,
03-0000027689,1,4,113,1,0,12,02-0000119416,1,2,1,,03-027689,91578,199169.10703,539560.07358,,126.9906090388827,37.45545326601402,,,,999,1,,2000-0000-000,,,
03-0000027696,1,4,108,1,0,12,02-0000119425,1,2,1,,03-027696,91579,199215.90371,539444.51765,,126.99113806955923,37.45441213290158,,,,999,1,,2000-0000-000,,,
